units,date,heartRateData
bpm,2021-12-03 11:07:32 +0000,63
bpm,2021-12-03 11:07:36 +0000,64
bpm,2021-12-03 11:07:42 +0000,68
bpm,2021-12-03 11:07:43 +0000,68
bpm,2021-12-03 11:07:52 +0000,70
bpm,2021-12-03 11:07:56 +0000,75
bpm,2021-12-03 11:08:00 +0000,73
bpm,2021-12-03 11:08:04 +0000,71
bpm,2021-12-03 11:08:08 +0000,72
bpm,2021-12-03 11:08:15 +0000,76
bpm,2021-12-03 11:08:22 +0000,81
bpm,2021-12-03 11:08:23 +0000,80
bpm,2021-12-03 11:08:32 +0000,77
bpm,2021-12-03 11:08:35 +0000,77
bpm,2021-12-03 11:08:42 +0000,75
bpm,2021-12-03 11:08:44 +0000,76
bpm,2021-12-03 11:08:49 +0000,76
bpm,2021-12-03 11:08:53 +0000,75
bpm,2021-12-03 11:09:02 +0000,71
bpm,2021-12-03 11:09:07 +0000,71
bpm,2021-12-03 11:09:08 +0000,72
bpm,2021-12-03 11:09:17 +0000,73
bpm,2021-12-03 11:09:20 +0000,75
bpm,2021-12-03 11:09:25 +0000,73
bpm,2021-12-03 11:09:30 +0000,70
bpm,2021-12-03 11:09:33 +0000,71
bpm,2021-12-03 11:09:38 +0000,70
bpm,2021-12-03 11:09:45 +0000,70
bpm,2021-12-03 11:09:48 +0000,68
bpm,2021-12-03 11:09:54 +0000,67
bpm,2021-12-03 11:10:02 +0000,72
bpm,2021-12-03 11:10:03 +0000,71
bpm,2021-12-03 11:10:09 +0000,76
bpm,2021-12-03 11:10:16 +0000,72
bpm,2021-12-03 11:10:18 +0000,73
bpm,2021-12-03 11:10:23 +0000,70
bpm,2021-12-03 11:10:32 +0000,69
bpm,2021-12-03 11:10:33 +0000,69
bpm,2021-12-03 11:10:41 +0000,68
bpm,2021-12-03 11:10:44 +0000,70
bpm,2021-12-03 11:10:52 +0000,72
bpm,2021-12-03 11:10:54 +0000,73
bpm,2021-12-03 11:11:02 +0000,72
bpm,2021-12-03 11:11:07 +0000,72
bpm,2021-12-03 11:11:10 +0000,72
bpm,2021-12-03 11:11:14 +0000,72
bpm,2021-12-03 11:11:19 +0000,72
bpm,2021-12-03 11:11:24 +0000,73
bpm,2021-12-03 11:11:28 +0000,71
bpm,2021-12-03 11:11:37 +0000,72
bpm,2021-12-03 11:11:39 +0000,71
bpm,2021-12-03 11:11:44 +0000,70
bpm,2021-12-03 11:11:52 +0000,73
bpm,2021-12-03 11:11:53 +0000,73
bpm,2021-12-03 11:12:02 +0000,75
bpm,2021-12-03 11:12:03 +0000,75
bpm,2021-12-03 11:12:08 +0000,75
bpm,2021-12-03 11:12:14 +0000,76
bpm,2021-12-03 11:12:18 +0000,74
bpm,2021-12-03 11:12:27 +0000,71
bpm,2021-12-03 11:12:32 +0000,71
bpm,2021-12-03 11:12:34 +0000,72
bpm,2021-12-03 11:12:40 +0000,73
bpm,2021-12-03 11:12:46 +0000,72
bpm,2021-12-03 11:12:52 +0000,72
bpm,2021-12-03 11:12:53 +0000,71
bpm,2021-12-03 11:13:02 +0000,71
bpm,2021-12-03 11:13:06 +0000,73
bpm,2021-12-03 11:13:08 +0000,74
bpm,2021-12-03 11:13:17 +0000,89
bpm,2021-12-03 11:13:22 +0000,94
bpm,2021-12-03 11:13:26 +0000,95
bpm,2021-12-03 11:13:29 +0000,96
bpm,2021-12-03 11:13:35 +0000,97
bpm,2021-12-03 11:13:39 +0000,98
bpm,2021-12-03 11:13:45 +0000,99
bpm,2021-12-03 11:13:52 +0000,102
bpm,2021-12-03 11:13:57 +0000,100
bpm,2021-12-03 11:14:01 +0000,100
bpm,2021-12-03 11:14:03 +0000,100
bpm,2021-12-03 11:14:10 +0000,97
bpm,2021-12-03 11:14:16 +0000,99
bpm,2021-12-03 11:14:21 +0000,95
bpm,2021-12-03 11:14:23 +0000,94
bpm,2021-12-03 11:14:32 +0000,88
bpm,2021-12-03 11:14:37 +0000,89
bpm,2021-12-03 11:14:38 +0000,90
bpm,2021-12-03 11:14:43 +0000,91
bpm,2021-12-03 11:14:48 +0000,91
bpm,2021-12-03 11:14:54 +0000,90
bpm,2021-12-03 11:15:02 +0000,93
bpm,2021-12-03 11:15:03 +0000,93
bpm,2021-12-03 11:15:12 +0000,98
bpm,2021-12-03 11:15:15 +0000,99
bpm,2021-12-03 11:15:19 +0000,100
bpm,2021-12-03 11:15:26 +0000,94
bpm,2021-12-03 11:15:28 +0000,92
bpm,2021-12-03 11:15:34 +0000,88
bpm,2021-12-03 11:15:40 +0000,94
bpm,2021-12-03 11:15:43 +0000,90
bpm,2021-12-03 11:15:48 +0000,80
bpm,2021-12-03 11:15:57 +0000,76
bpm,2021-12-03 11:15:58 +0000,76
bpm,2021-12-03 11:16:03 +0000,72
bpm,2021-12-03 11:16:12 +0000,59
bpm,2021-12-03 11:16:16 +0000,58
bpm,2021-12-03 11:16:22 +0000,59
bpm,2021-12-03 11:16:23 +0000,61
bpm,2021-12-03 11:16:28 +0000,65
bpm,2021-12-03 11:16:37 +0000,60
