,value__bpm,value__confidence
2021-12-03 00:51:10,,
2021-12-03 00:51:15,,
2021-12-03 00:51:20,,
2021-12-03 00:51:25,,
2021-12-03 00:51:30,,
2021-12-03 00:51:35,,
2021-12-03 00:51:40,,
2021-12-03 00:51:45,,
2021-12-03 00:51:50,,
2021-12-03 00:51:55,,
2021-12-03 00:52:00,,
2021-12-03 00:52:05,,
2021-12-03 00:52:10,,
2021-12-03 00:52:15,,
2021-12-03 00:52:20,,
2021-12-03 00:52:25,,
2021-12-03 00:52:30,,
2021-12-03 00:52:35,,
2021-12-03 00:52:40,,
2021-12-03 00:52:45,,
2021-12-03 00:52:50,,
2021-12-03 00:52:55,,
2021-12-03 00:53:00,,
2021-12-03 00:53:05,,
2021-12-03 00:53:10,,
2021-12-03 00:53:15,,
2021-12-03 00:53:20,,
2021-12-03 00:53:25,,
2021-12-03 00:53:30,,
2021-12-03 00:53:35,,
2021-12-03 00:53:40,,
2021-12-03 00:53:45,,
2021-12-03 00:53:50,,
2021-12-03 00:53:55,,
2021-12-03 00:54:00,,
2021-12-03 00:54:05,,
2021-12-03 00:54:10,,
2021-12-03 00:54:15,,
2021-12-03 00:54:20,,
2021-12-03 00:54:25,,
2021-12-03 00:54:30,,
2021-12-03 00:54:35,,
2021-12-03 00:54:40,,
2021-12-03 00:54:45,,
2021-12-03 00:54:50,,
2021-12-03 00:54:55,,
2021-12-03 00:55:00,,
2021-12-03 00:55:05,,
2021-12-03 00:55:10,,
2021-12-03 00:55:15,,
2021-12-03 00:55:20,,
2021-12-03 00:55:25,,
2021-12-03 00:55:30,,
2021-12-03 00:55:35,,
2021-12-03 00:55:40,,
2021-12-03 00:55:45,,
2021-12-03 00:55:50,,
2021-12-03 00:55:55,,
2021-12-03 00:56:00,,
2021-12-03 00:56:05,,
2021-12-03 00:56:10,,
2021-12-03 00:56:15,,
2021-12-03 00:56:20,,
2021-12-03 00:56:25,,
2021-12-03 00:56:30,,
2021-12-03 00:56:35,,
2021-12-03 00:56:40,,
2021-12-03 00:56:45,,
2021-12-03 00:56:50,,
2021-12-03 00:56:55,,
2021-12-03 00:57:00,,
2021-12-03 00:57:05,,
2021-12-03 00:57:10,,
2021-12-03 00:57:15,,
2021-12-03 00:57:20,,
2021-12-03 00:57:25,,
2021-12-03 00:57:30,,
2021-12-03 00:57:35,,
2021-12-03 00:57:40,,
2021-12-03 00:57:45,,
2021-12-03 00:57:50,,
2021-12-03 00:57:55,,
2021-12-03 00:58:00,,
2021-12-03 00:58:05,,
2021-12-03 00:58:10,,
2021-12-03 00:58:15,,
2021-12-03 00:58:20,,
2021-12-03 00:58:25,,
2021-12-03 00:58:30,,
2021-12-03 00:58:35,,
2021-12-03 00:58:40,,
2021-12-03 00:58:45,,
2021-12-03 00:58:50,,
2021-12-03 00:58:55,,
2021-12-03 00:59:00,,
2021-12-03 00:59:05,,
2021-12-03 00:59:10,,
2021-12-03 00:59:15,,
2021-12-03 00:59:20,,
2021-12-03 00:59:25,,
2021-12-03 00:59:30,,
2021-12-03 00:59:35,,
